case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
EZYV00001,North America,Master's,Y,N,55271,2015,South,34352.3109,Year,Y,Certified
EZYV00002,Asia,Master's,Y,N,31091,2009,Northeast,199828.9412,Year,Y,Certified
EZYV00003,South America,Bachelor's,Y,N,36852,1997,South,247048.844,Year,Y,Certified
EZYV00004,Europe,Master's,Y,Y,21227,1978,West,90225.3072,Year,Y,Certified
EZYV00005,Asia,High School,Y,Y,53441,1999,South,216364.3336,Year,Y,Denied
EZYV00006,Oceania,Master's,Y,N,4517,1993,Northeast,190683.8586,Year,Y,Certified
EZYV00007,North America,Master's,N,Y,16592,2015,South,227914.0066,Year,Y,Certified
EZYV00008,North America,Bachelor's,N,N,59458,1973,Midwest,106208.2446,Hour,Y,Denied
EZYV00009,Asia,High School,N,N,29055,1961,South,25505.1159,Year,Y,Denied
EZYV00010,Asia,Master's,N,Y,10498,1967,South,29765.3803,Year,Y,Certified
EZYV00011,Asia,Bachelor's,N,N,24833,1970,Northeast,190846.9654,Year,N,Certified
EZYV00012,Africa,Doctorate,N,N,15329,1999,South,215860.2935,Hour,Y,Certified
EZYV00013,Europe,Master's,Y,N,31524,1968,Midwest,114362.7819,Year,N,Certified
EZYV00014,South America,Master's,N,N,14166,1968,West,15080.8081,Year,Y,Certified
EZYV00015,Asia,Bachelor's,Y,N,23968,1983,South,16863.1689,Year,Y,Certified
EZYV00016,Asia,Master's,Y,N,54477,2006,Midwest,149730.3674,Year,N,Certified
EZYV00017,Europe,Doctorate,Y,N,4955,1985,South,229672.3627,Year,Y,Certified
EZYV00018,Asia,High School,N,N,45824,1976,Midwest,100015.9617,Year,Y,Denied
EZYV00019,South America,Bachelor's,N,N,4705,1977,Northeast,162724.8298,Year,Y,Certified
EZYV00020,Europe,Bachelor's,N,N,27447,2009,South,135593.5407,Year,Y,Denied
EZYV00021,North America,Bachelor's,N,N,40104,1985,Midwest,222461.5095,Year,N,Certified
EZYV00022,Asia,Master's,N,N,57326,1982,Midwest,208130.4254,Month,Y,Certified
EZYV00023,Oceania,Bachelor's,Y,N,15016,2006,West,49997.2703,Year,Y,Certified
EZYV00024,South America,Master's,N,N,3181,1982,West,169450.266,Year,Y,Denied
EZYV00025,North America,Bachelor's,N,N,45054,1981,Midwest,211906.2958,Year,Y,Certified
EZYV00026,Asia,Bachelor's,N,N,53621,2005,West,232576.2956,Year,Y,Denied
EZYV00027,Asia,Bachelor's,Y,N,33909,1979,Northeast,147563.7997,Year,Y,Certified
EZYV00028,Asia,Master's,Y,N,3639,1990,South,44142.6265,Year,Y,Certified
EZYV00029,Asia,Master's,N,Y,30047,1999,West,139646.3746,Year,Y,Certified
EZYV00030,Europe,Bachelor's,Y,Y,23476,1972,West,166521.5891,Year,Y,Certified
EZYV00031,North America,Master's,Y,N,27097,1967,Midwest,68267.7676,Week,Y,Certified
EZYV00032,Africa,High School,Y,N,3254,2011,South,243255.7702,Year,Y,Denied
EZYV00033,Asia,Bachelor's,Y,N,19051,1977,Northeast,57485.6976,Year,Y,Certified
EZYV00034,Asia,Bachelor's,Y,N,59938,1980,Northeast,227855.8599,Year,Y,Certified
EZYV00035,Asia,Doctorate,N,N,2762,1995,Midwest,106410.1532,Year,Y,Certified
EZYV00036,Asia,Master's,N,N,54864,1966,Northeast,338.4304,Year,Y,Certified
EZYV00037,Asia,Master's,N,N,31059,1962,Midwest,135913.6105,Year,Y,Denied
EZYV00038,Asia,High School,Y,N,35094,1984,Northeast,157145.8093,Year,Y,Denied
EZYV00039,Asia,Bachelor's,Y,N,56011,2018,South,217366.9656,Year,Y,Certified
EZYV00040,Europe,Master's,Y,Y,13082,1994,West,135232.697,Year,Y,Certified
EZYV00041,Asia,Bachelor's,Y,Y,59064,1994,South,23713.5197,Year,Y,Certified
EZYV00042,South America,Doctorate,Y,N,16617,1996,Midwest,231718.0271,Year,Y,Certified
EZYV00043,North America,Master's,N,N,20955,2011,Northeast,141425.6268,Year,Y,Certified
EZYV00044,Asia,Bachelor's,N,N,26980,2010,South,68028.4918,Year,Y,Certified
EZYV00045,South America,Master's,Y,N,36098,1961,West,224734.8824,Year,N,Certified
EZYV00046,North America,Doctorate,Y,Y,19376,1992,Midwest,30404.1854,Year,Y,Certified
EZYV00047,Asia,Bachelor's,Y,N,47589,1992,Northeast,24551.2132,Year,N,Certified
EZYV00048,Asia,Master's,Y,N,1293,1973,South,133845.2716,Year,Y,Certified
EZYV00049,Europe,Doctorate,Y,N,40001,2018,West,156296.0801,Year,Y,Certified
EZYV00050,Asia,Bachelor's,Y,N,39380,1975,Midwest,127837.6,Year,Y,Certified
EZYV00051,Asia,Doctorate,Y,Y,32080,2010,Midwest,232262.2134,Year,Y,Certified
EZYV00052,Asia,High School,Y,N,36811,1966,Midwest,65852.6445,Year,N,Denied
EZYV00053,North America,Master's,N,N,44864,1996,South,247560.722,Year,Y,Certified
EZYV00054,Europe,Master's,Y,N,54260,2004,West,5033.4637,Year,Y,Certified
EZYV00055,North America,Master's,Y,N,13114,1990,Midwest,29809.7919,Year,N,Certified
EZYV00056,North America,Bachelor's,Y,N,28619,1966,Midwest,46581.9412,Year,Y,Certified
EZYV00057,Asia,Master's,Y,N,33737,1967,West,20078.0166,Year,Y,Certified
EZYV00058,Europe,Bachelor's,Y,N,20692,1996,Midwest,109666.823,Year,Y,Certified
EZYV00059,Asia,Bachelor's,N,Y,58431,2011,Midwest,216369.9695,Year,Y,Certified
EZYV00060,Asia,Bachelor's,N,N,30698,1995,Northeast,205225.6799,Year,N,Certified
EZYV00061,Europe,Master's,N,N,35565,1966,South,186240.2626,Hour,Y,Certified
EZYV00062,Asia,Bachelor's,Y,N,11693,2007,Midwest,2050.8686,Year,Y,Certified
EZYV00063,Europe,Bachelor's,Y,N,24956,1987,South,216453.3655,Year,Y,Certified
EZYV00064,North America,Doctorate,Y,N,37538,1964,Northeast,99245.4732,Year,Y,Certified
EZYV00065,Europe,Bachelor's,Y,N,25709,1982,South,182963.1111,Year,Y,Certified
EZYV00066,Europe,Bachelor's,N,N,46205,1972,West,181784.2874,Year,Y,Certified
EZYV00067,Europe,Bachelor's,Y,N,8216,2019,Midwest,44544.7526,Year,Y,Certified
EZYV00068,Asia,Bachelor's,Y,N,9220,2014,Midwest,128945.6329,Year,Y,Certified
EZYV00069,Asia,Master's,Y,N,20349,1966,Northeast,231560.0035,Year,Y,Certified
EZYV00070,Asia,Bachelor's,Y,N,19113,1994,South,65909.5478,Year,Y,Certified
EZYV00071,Asia,High School,N,N,48929,1960,Northeast,178813.9564,Year,Y,Certified
EZYV00072,Asia,Doctorate,Y,N,52070,1987,Midwest,239521.1496,Year,Y,Certified
EZYV00073,South America,Master's,Y,N,28325,1969,Northeast,90285.6677,Year,Y,Certified
EZYV00074,Asia,Master's,Y,N,30339,2004,West,97030.8914,Year,Y,Certified
EZYV00075,Asia,Master's,N,N,17672,1964,West,113250.1148,Year,Y,Certified
EZYV00076,Asia,Doctorate,Y,N,31917,2014,West,202298.0026,Year,Y,Certified
EZYV00077,Asia,Bachelor's,N,N,42392,1973,West,109933.3235,Year,Y,Certified
EZYV00078,Europe,Master's,Y,N,43348,1975,West,121664.2398,Year,Y,Certified
EZYV00079,Europe,Master's,Y,Y,58138,2013,West,55734.9089,Year,Y,Certified
EZYV00080,North America,Bachelor's,N,N,34679,2014,Northeast,247088.5973,Year,Y,Denied
EZYV00081,Europe,Bachelor's,Y,N,20428,1965,South,223110.0677,Year,Y,Certified
EZYV00082,Asia,Bachelor's,Y,N,4188,1966,South,150143.5274,Year,N,Certified
EZYV00083,North America,Master's,Y,Y,41279,2011,South,240147.9059,Year,Y,Certified
EZYV00084,Asia,Master's,Y,N,48240,2018,West,171812.0421,Year,Y,Certified
EZYV00085,Asia,Master's,Y,Y,33151,1989,South,239784.587,Year,Y,Certified
EZYV00086,Asia,Bachelor's,N,Y,55371,1969,Midwest,40551.6595,Year,Y,Certified
EZYV00087,North America,Bachelor's,Y,N,19024,1969,Northeast,56519.2602,Year,Y,Denied
EZYV00088,Asia,Bachelor's,Y,N,3210,1975,West,221318.5794,Year,Y,Certified
EZYV00089,Asia,Master's,Y,N,37994,2001,Northeast,105084.623,Week,Y,Denied
EZYV00090,Asia,Doctorate,N,N,7288,1965,South,92915.1945,Year,Y,Certified
EZYV00091,Asia,Master's,Y,N,5060,1998,South,188632.972,Year,Y,Certified
EZYV00092,Europe,Doctorate,Y,N,42122,2008,West,157655.3499,Hour,Y,Certified
EZYV00093,Asia,Master's,N,N,26072,1968,Northeast,86149.0856,Year,Y,Denied
EZYV00094,Asia,Doctorate,N,N,36274,2019,West,99585.5748,Year,Y,Certified
EZYV00095,Asia,Bachelor's,N,N,44866,2019,West,102214.2628,Year,Y,Denied
EZYV00096,Europe,High School,Y,N,22960,1977,Midwest,31757.5658,Year,N,Denied
EZYV00097,Asia,High School,Y,N,36670,1966,West,57542.5716,Hour,Y,Denied
EZYV00098,Asia,Bachelor's,Y,N,32361,1979,West,134475.0643,Year,Y,Certified
EZYV00099,Asia,Bachelor's,N,N,34807,1975,Midwest,195500.4226,Year,Y,Denied
EZYV00100,Africa,Bachelor's,Y,N,42204,1976,Northeast,104878.2615,Year,N,Certified
EZYV00101,Africa,Doctorate,Y,N,22832,2015,West,95961.5293,Year,Y,Certified
EZYV00102,Europe,Bachelor's,Y,N,30276,1969,South,162698.9352,Year,Y,Denied
EZYV00103,Asia,Doctorate,N,N,35474,1979,West,39482.0152,Year,Y,Certified
EZYV00104,Africa,Master's,N,N,8424,2007,Northeast,95311.431,Year,Y,Certified
EZYV00105,North America,Master's,Y,N,12706,1963,South,52192.4318,Year,Y,Certified
EZYV00106,North America,Master's,N,N,5379,1963,West,162981.2293,Year,Y,Denied
EZYV00107,Asia,Bachelor's,N,N,11893,1978,South,28268.5309,Hour,Y,Denied
EZYV00108,Asia,Master's,Y,N,26339,2018,Northeast,112066.1403,Year,Y,Certified
EZYV00109,Asia,Bachelor's,Y,N,56258,2010,South,149126.2779,Year,Y,Certified
EZYV00110,Africa,Doctorate,N,N,55374,2015,Midwest,208452.1256,Year,Y,Certified
EZYV00111,Asia,Bachelor's,Y,N,45774,2011,Northeast,181192.9089,Year,Y,Certified
EZYV00112,Asia,Bachelor's,Y,N,33473,1967,South,235727.2076,Year,Y,Certified
EZYV00113,Asia,Master's,Y,N,12163,1984,Island,170033.6261,Year,Y,Certified
EZYV00114,Europe,Master's,N,N,21502,1991,Midwest,87427.5708,Year,Y,Denied
EZYV00115,Asia,Bachelor's,Y,N,45980,1969,Northeast,58084.6259,Year,Y,Certified
EZYV00116,South America,Master's,N,N,54523,2019,South,14334.2844,Year,Y,Denied
EZYV00117,North America,Bachelor's,Y,N,57750,1996,Northeast,69541.3867,Year,Y,Denied
EZYV00118,North America,Master's,Y,N,23327,2011,Midwest,34384.8025,Year,Y,Certified
EZYV00119,Asia,Bachelor's,N,N,29205,1975,South,92432.3495,Year,Y,Denied
EZYV00120,Europe,Bachelor's,Y,N,30556,2002,South,175704.0192,Year,Y,Certified
EZYV00121,Europe,Bachelor's,Y,N,3389,1966,Northeast,173070.0992,Year,Y,Denied
EZYV00122,Europe,Bachelor's,Y,N,7003,1961,West,79677.9741,Year,Y,Certified
EZYV00123,Asia,Bachelor's,N,N,2727,1998,Northeast,127236.3822,Year,Y,Certified
EZYV00124,Asia,Bachelor's,Y,N,44247,1964,West,54349.5381,Year,N,Certified
EZYV00125,Asia,Bachelor's,Y,N,13472,1976,South,125843.5843,Hour,Y,Certified
EZYV00126,Asia,Bachelor's,Y,N,42022,2007,West,127618.4527,Year,Y,Certified
EZYV00127,Asia,Master's,Y,N,22525,1989,Midwest,75463.9504,Year,Y,Certified
